Feature,Importance
oldpeak,0.12848468442965796
thalachh,0.11972490865812921
caa,0.11553321730454934
cp,0.10379204353853883
thall,0.09330036883142694
age,0.09281108401765788
trtbps,0.07753743554625635
exng,0.07580922199739482
chol,0.07481168487533908
slp,0.05105778852026936
sex,0.03565795366292133
restecg,0.019781744699881632
fbs,0.011697863917977286
